points,price
96,235
96,110
96,90
96,65
95,66
95,73
95,65
95,110
95,65
95,60
95,80
95,48
95,48
95,90
95,185
95,90
95,325
95,80
95,290
95,75
95,24
95,79
95,220
95,60
95,45
94,57
94,62
94,105
94,60
94,60
90,15
90,37
90,
90,22
90,42
90,135
90,60
90,29
90,23
90,29
90,17
90,26
90,55
90,39
90,69
90,30
90,90
90,60
90,50
90,40
90,100
90,68
90,42
90,28
90,18
90,69
90,
90,25
90,30
90,60
91,30
91,36
91,25
91,45
91,23
91,36
91,38
91,85
91,50
91,60
91,85
91,45
91,
91,19
91,15
91,54
91,85
91,38
91,28
91,75
91,42
91,25
91,
91,59
91,85
91,80
91,45
91,22
91,65
91,50
86,10
86,12
86,22
86,13
86,10
86,14
86,18
86,36
86,15
86,10
86,24
86,50
86,45
86,48
86,20
86,17
86,12
86,10
86,13
86,45
86,12
86,12
86,125
86,25
86,20
86,15
86,
86,20
86,15
86,7
91,59
91,49
91,42
91,93
91,32
91,20
90,100
90,50
90,22
90,45
90,18
90,45
90,26
90,16
90,30
90,42
90,38
90,48
90,17
90,18
90,15
90,28
90,25
90,26
90,24
90,55
90,36
90,17
90,40
90,28
89,50
89,24
89,17
89,21
89,18
89,20
89,20
89,24
89,44
89,19
89,42
89,35
89,44
89,16
89,23
89,36
89,25
89,22
89,20
89,25
89,42
89,30
89,17
89,49
89,16
89,30
89,40
89,57
89,29
89,61
88,25
88,25
88,49
88,20
88,26
88,34
88,38
88,38
88,25
87,22
87,15
87,20
87,25
87,20
87,20
87,25
87,10
87,18
87,18
87,14
87,14
87,40
87,18
87,20
87,10
87,11
87,36
87,20
87,32
87,18
93,55
93,49
93,50
93,58
93,39
93,65
93,35
93,80
93,42
93,61
93,58
93,38
93,48
93,50
93,58
93,120
93,50
93,80
93,40
93,41
93,48
93,200
93,39
93,62
93,43
92,35
92,48
92,55
92,40
92,69
88,16
88,16
88,
88,15
88,13
88,28
88,36
88,9
88,24
88,30
88,25
88,34
88,60
88,54
88,15
88,56
88,20
88,61
88,46
88,30
88,17
88,
88,40
88,39
88,49
88,23
88,16
88,32
88,18
88,15
92,92
92,94
92,58
92,50
92,48
92,32
92,27
92,35
92,95
92,43
92,33
92,60
92,
92,30
92,100
92,35
91,60
91,16
91,40
91,60
91,100
91,18
91,16
91,42
91,
91,20
91,25
91,23
91,38
91,32
94,60
94,30
94,85
94,30
94,65
94,57
94,90
94,85
94,70
94,70
94,60
94,38
94,29
94,155
94,48
94,95
94,80
94,49
94,35
94,50
94,44
94,68
94,20
94,
94,95
94,44
94,50
94,100
94,70
94,63
91,75
91,23
91,50
91,22
91,45
91,130
91,38
91,30
91,22
91,
91,90
91,60
91,115
91,55
91,30
91,14
91,48
91,40
91,39
91,60
91,50
91,48
91,54
91,42
91,50
91,40
91,40
91,42
91,85
91,32
90,41
90,27
90,29
90,33
90,70
90,19
90,22
90,25
90,27
90,22
90,30
90,15
90,45
90,80
90,
90,
90,18
90,19
90,31
90,15
90,15
90,24
90,80
90,35
90,40
90,28
90,50
90,28
90,36
90,40
90,50
90,75
90,60
90,46
90,70
90,26
90,
90,60
90,75
90,32
90,95
90,60
90,70
90,20
90,27
90,20
90,75
90,28
90,60
90,22
90,49
90,35
90,90
90,30
90,35
90,38
90,22
90,30
90,32
90,35
87,36
87,30
87,20
87,32
87,18
87,27
87,20
87,
87,30
87,20
87,23
87,22
87,75
87,98
87,
87,20
87,22
87,16
87,28
87,25
87,17
87,17
87,15
87,16
87,15
87,38
87,28
87,52
87,58
87,60
86,15
86,15
86,26
86,32
86,10
86,10
86,18
86,12
86,35
86,34
86,23
86,20
86,31
86,24
86,12
86,18
86,10
86,15
86,24
86,14
86,14
86,15
86,38
86,13
86,12
86,32
86,15
86,28
86,
86,30
89,49
89,17
89,11
89,43
89,19
89,28
89,26
89,
89,35
89,30
89,55
89,
89,46
89,50
89,43
89,45
89,39
89,30
89,45
89,23
89,15
89,65
89,19
89,35
89,60
89,44
89,25
89,30
89,12
89,18
92,30
92,
92,23
92,45
92,125
92,98
92,40
92,17
92,60
92,70
92,68
92,40
92,32
92,45
92,66
92,29
92,63
92,32
92,55
92,16
92,45
92,20
92,50
92,18
92,23
92,
92,32
92,30
92,35
92,44
90,24
90,20
90,22
90,50
90,45
90,23
90,49
90,17
90,35
90,
90,59
90,24
90,
90,20
90,20
90,18
90,
90,42
90,22
90,20
90,48
90,30
90,
90,40
90,20
90,17
90,22
90,31
90,15
90,15
94,62
94,49
94,25
94,95
94,55
94,48
94,35
94,40
94,68
94,90
93,25
93,60
93,21
93,125
93,85
93,60
93,64
93,19
93,25
93,55
93,58
93,48
93,40
93,60
93,120
93,
93,100
93,34
93,91
93,36
91,40
91,20
91,55
91,19
91,26
91,45
91,36
91,23
91,25
91,21
91,28
91,41
91,26
91,
91,28
91,
91,38
91,44
91,45
91,25
91,38
91,22
91,26
91,23
91,23
91,50
91,21
91,25
91,16
91,60
90,38
90,20
90,75
90,33
90,75
90,64
90,18
90,75
90,30
90,42
90,18
90,20
90,40
90,25
90,19
90,18
90,30
90,13
90,45
90,30
90,111
90,35
90,32
90,88
90,57
90,34
90,24
90,45
90,74
90,
88,42
88,27
88,25
88,35
88,45
88,30
88,26
88,39
88,25
88,80
88,55
88,22
88,28
88,25
88,48
88,19
88,19
88,77
88,18
88,25
88,
88,
88,18
88,18
88,
88,65
88,25
88,48
88,20
88,11
90,55
90,35
90,26
90,46
90,55
90,30
90,25
90,27
90,28
90,62
90,48
90,80
90,36
90,48
90,60
90,24
90,42
90,45
90,39
90,25
90,40
90,40
90,40
90,60
90,19
90,85
90,26
90,25
90,15
90,24
86,18
86,35
86,26
86,39
86,11
85,15
85,9
85,16
85,15
85,18
85,9
85,11
85,12
85,14
85,10
85,12
85,18
85,14
85,10
85,13
85,10
85,20
85,30
85,50
85,16
85,11
85,15
85,65
85,9
85,30
89,
89,26
89,20
89,25
89,36
89,14
89,36
89,23
89,30
89,28
89,20
89,36
89,45
89,20
89,20
89,45
89,20
89,28
89,42
89,110
89,25
89,14
89,18
89,39
89,90
89,18
89,7
89,17
89,17
89,20
87,50
87,87
87,28
87,
87,36
87,
87,
87,35
87,
87,30
87,28
87,20
87,18
87,32
87,28
87,
87,26
87,32
87,11
87,26
87,19
87,22
87,28
87,28
87,20
87,25
87,16
87,18
87,25
87,10
90,22
90,20
90,48
90,30
90,
90,59
90,24
90,
90,20
90,20
90,
90,18
90,70
90,25
90,36
90,65
90,42
90,50
90,28
90,22
90,26
90,80
90,28
90,24
90,21
90,50
90,40
90,22
90,30
90,50
90,55
90,35
90,37
90,42
90,25
90,60
90,27
90,45
